,Date,Open,High,Low,Close,Adj Close,Volume,MA7,MA21,Volatility_7,Volatility_21,HighLow,CloseOpen,Day,Month,lag_1,lag_2,lag_3,lag_5,lag_7,SP500_Close,Inflation,Earnings_Season,Target
0,2012-02-01,65.487144,65.57,65.078575,65.169998,56.315968,67511500,63.768570571428576,61.41326509523809,1.769540409547649,2.047490665486634,0.49142499999999245,-0.31714599999999393,2,2,65.211426,64.715714,63.897144,63.808571,61.058571,66.47339796000001,2.1,0,65.017143
1,2012-02-02,65.128571,65.309998,64.854286,65.017143,56.183865,46699100,64.476938,61.71183652380952,0.7153070387946201,2.0958536038291116,0.45571199999999124,-0.11142799999998942,3,2,65.169998,65.211426,64.715714,63.51857,60.058571,66.31748586,2.1,0,65.668571
2,2012-02-03,65.328575,65.714287,65.080002,65.668571,56.746796,71649900,64.74265228571429,62.02639423809525,0.7690937466770243,2.17270378444861,0.6342850000000055,0.3399959999999993,4,2,65.017143,65.169998,65.211426,63.897144,63.808571,66.98194242,2.1,0,66.281425
3,2012-02-06,65.482857,66.425713,65.457146,66.281425,57.276386,62353200,65.13734585714286,62.338911095238096,0.7447588047826472,2.2928265403170203,0.9685670000000073,0.798568000000003,0,2,65.668571,65.017143,65.169998,64.715714,63.51857,67.6070535,2.1,0,66.975716
4,2012-02-07,66.464287,67.10714,66.368568,66.975716,57.876339,79055900,65.57714185714286,62.654761523809526,0.7974495332186363,2.4552169689820285,0.7385720000000049,0.5114290000000068,1,2,66.281425,65.668571,65.017143,65.211426,63.897144,68.31523032000001,2.1,0,68.097145
5,2012-02-08,67.214287,68.112854,67.099998,68.097145,58.845402,101972500,66.06020342857143,63.02857114285715,1.1394789059474115,2.659420162216977,1.0128559999999993,0.8828579999999988,2,2,66.975716,66.281425,65.668571,65.169998,64.715714,69.4590879,2.1,0,70.452858
6,2012-02-09,68.68,70.964287,68.651428,70.452858,60.881111,221053700,66.80897942857143,63.50428552380952,1.933942675641431,3.043312878343586,2.312859000000003,1.7728579999999994,3,2,68.097145,66.975716,66.281425,65.017143,65.211426,71.86191516000001,2.1,0,70.488571
7,2012-02-10,70.137146,71.08857,69.792854,70.488571,60.911942,157825500,67.56877557142857,63.98639438095239,2.2080499841272054,3.311153106399584,1.2957159999999988,0.3514249999999919,4,2,70.452858,68.097145,66.975716,65.668571,65.169998,71.89834241999999,2.1,0,71.800003
8,2012-02-13,71.361427,71.975716,71.012856,71.800003,62.0452,129304000,68.53775557142858,64.53884357142859,2.383027118475752,3.602571038313449,0.9628600000000063,0.43857599999999763,0,2,70.488571,70.452858,68.097145,66.281425,65.017143,73.23600306,2.1,0,72.779999
9,2012-02-14,72.094284,72.794289,71.714287,72.779999,62.892056,115099600,69.55367385714285,65.14870742857143,2.4702459035467945,3.8654118012964886,1.0800020000000075,0.6857150000000019,1,2,71.800003,70.488571,70.452858,66.975716,65.668571,74.23559898,2.1,0,71.095711
10,2012-02-15,73.465714,75.184288,70.984283,71.095711,61.4366,376530000,70.24142900000001,65.64510180952381,2.0400941544910562,3.9304862435417176,4.20000499999999,-2.370003000000011,2,2,72.779999,71.800003,70.488571,68.097145,66.281425,72.51762522,2.1,0,71.744286
11,2012-02-16,70.214287,72.127144,69.51857,71.744286,61.997032,236138000,70.92265328571429,66.14238066666667,1.4898063088358704,4.013190711372494,2.6085740000000044,1.5299990000000037,3,2,71.095711,72.779999,71.800003,70.452858,66.975716,73.17917172,2.1,0,71.73143
12,2012-02-17,71.872856,72.538574,71.471428,71.73143,61.985954,133951300,71.44183685714286,66.6482990952381,0.826730373431421,4.016359204701522,1.067145999999994,-0.1414259999999956,4,2,71.744286,71.095711,72.779999,70.488571,68.097145,73.1660586,2.1,0,73.550003
13,2012-02-21,72.41143,73.550003,72.017143,73.550003,63.557446,151398800,71.88428614285714,67.29149647619049,1.016272139991248,3.9870837065580584,1.5328599999999994,1.138573000000008,1,2,71.73143,71.744286,71.095711,71.800003,70.452858,75.02100306,2.1,0,73.291428
